Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish,japanese
UVM_Impactwrench,,items,Melee,KgNone,Impact Wrench,Clé à chocs,Schlagschrauber,,Llave de impacto,Klucz udarowy,インパクトレンチ
UVM_ImpactwrenchDesc,,items,,,Used to upgrade any UVM vehicle found in the world into a working vehicle.\n\nYou will need some vehicle accessories in your inventory to upgrade.\n\nAim at the right headlight of any UVM vehicle.,Utilisé pour mettre à jour tout véhicule UVM trouvé dans le monde dans un véhicule de travail. \ N \ nVous aura besoin des accessoires de véhicules dans votre inventaire pour la mise à niveau. \ N \ NAIM au phare droit de tout véhicule UVM.,Alle gebrauchten UVM-Fahrzeug der Welt in ein Arbeitsfahrzeug gefunden zu aktualisieren. \ N \ nDie werden einige Fahrzeugzubehör in Ihrem Inventar aktualisieren müssen. \ N \ Naim am rechten Scheinwerfer eines UVM Fahrzeug.,,Se utiliza para actualizar cualquier vehículo UVM se encuentran en el mundo en un vehículo de trabajo. \ N \ nNo necesitará algunos accesorios de vehículos en su inventario para actualizar. \ N \ Naim en el faro derecho de cualquier vehículo de UVM.,Służy do uaktualnienia każdy pojazd uvm znaleźć w świecie na pojazd roboczy. \ N \ nNie będzie potrzebować akcesoriów samochodowych w ekwipunku do aktualizacji. \ N \ Naim na prawym reflektorem jakiegokolwiek pojazdu uvm.,ワールド内で発見したUMV車をアップグレードするために使用します。\n\n乗り物用アクセサリを鞄内に入れた状態で、インパクトレンチを車の向かって右側のヘッドライトに向け左クリックしてアップグレードすると、乗る事が可能になります。
UVM_ImpactwrenchSchematic,,items,,,Impact Wrench Schematic,Clé à chocs schématique,Schlagschrauber Schematic,,Llave de impacto esquemática,Klucz udarowy Schematyczne,
UVM_vehicleAccessories,,items,,,Vehicle Accessories,Accessoires pour véhicules,Fahrzeugzubehör,,Accesorios de vehículos,Akcesoria pojazd,乗り物用アクセサリ
UVM_vehicleAccessoriesDesc,,items,,,Upgrade item for UVM vehicles found in the world.\n\nUpgrade UVM vehicles by left clicking with an impact wrench in your hand.\n\nAim at the right headlight of any UVM vehicle.,élément de mise à niveau pour les véhicules UVM trouvés dans le monde. \ n \ nmise véhicules UVM en cliquant à gauche avec une clé d'impact dans votre main. \ n \ NAIM au phare droit de tout véhicule UVM.,Upgrade-Artikel für UVM Fahrzeuge gefunden in der Welt. \ N \ nUpgrade UVM Fahrzeuge mit einem Linksklick mit einem Schlagschrauber in der Hand. \ N \ Naim am rechten Scheinwerfer eines UVM Fahrzeugs.,,elemento de actualización para vehículos UVM encuentra en el mundo de vehículos. \ n \ nUpgrade UVM haciendo clic izquierdo con una llave de impacto en la mano. \ n \ Naim en el faro derecho de cualquier vehículo de UVM.,Upgrade dla pojazdów uvm znaleźć w świecie pojazdów. \ N \ nUpgrade uvm klikając lewym przyciskiem myszy za pomocą klucza udarowego w ręku. \ N \ Naim na prawym reflektorem jakiegokolwiek pojazdu uvm.,ワールド内で発見したUMV車をアップグレードするために使用します。\n\n乗り物用アクセサリを鞄内に入れた状態で、インパクトレンチを車の向かって右側のヘッドライトに向け左クリックしてアップグレードすると、乗る事が可能になります。
UVM_vehicleAccessoriesSchematic,,items,,,Vehicle Accessories Schematic,Accessoires pour véhicules Schéma,Fahrzeugzubehör Schematic,,Vehículo Accesorios esquemática,Pojazd Akcesoria Schematyczne,乗り物用アクセサリ・スキマティック
,,items,,,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,
UVM_Car1BasePlaceable,,items,,,Sports Car (Black),Voiture de sport (Noir),Sport-Auto (schwarz),,Autos Deportivos (Negro),Sports Car (czarny),スポーツカー(黒)
UVM_Car2BasePlaceable,,items,,,Sports Car (Blue Stripes),Voiture de sport (rayures bleues),Sport-Auto (blaue Streifen),,Autos Deportivos (rayas azules),Sports Car (niebieskie pasy),スポーツカー(青ストライプ)
UVM_Car3BasePlaceable,,items,,,Sports Car (Red),Voiture de sport (Rouge),Sportwagen (rot),,Autos Deportivos (rojo),Sports Car (czerwony),スポーツカー(赤)
